,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
148297,260010352,26.0,1,29.0,1,45.0,819.711817518,54.99,0.0
148315,260010352,26.0,1,29.0,1,45.0,75.90495151409999,54.99,0.0
148320,261894118,26.0,1,29.0,1,45.0,941.0295391469999,74.99,0.0
148344,261894118,26.0,1,29.0,1,45.0,109.12229743600001,99.39,0.0
148438,256332650,36.5,3,23.5,3,2.5,316.27425444,99.69,0.0
148510,260011270,30.0,1,51.0,1,51.0,609.6241559690001,99.99,0.0
148526,260010352,26.0,1,29.0,1,45.0,483.374509471,54.99,0.0
148541,261894118,26.0,1,29.0,1,45.0,554.4465534990001,74.99,0.0
148562,260010106,46.0,1,30.0,1,41.0,883.2796533669998,37.99,0.0
148568,260010384,46.0,1,30.0,2,41.0,388.576947854,37.99,0.0
148579,261898968,30.0,1,51.0,1,51.0,404.949198215,84.99,0.0
148595,261900884,46.0,1,30.0,1,41.0,633.803327718,64.99,0.0
148598,261894118,26.0,1,29.0,1,45.0,697.4207440060001,103.78,0.0
148622,260011902,26.0,1,29.0,2,45.0,809.434582935,21.99,0.0
148676,261901098,21.0,1,36.0,1,59.0,746.000226697,149.99,1.0
148678,261898968,30.0,1,51.0,1,51.0,439.99024348,84.99,0.0
148680,260010352,26.0,1,29.0,1,45.0,212.128478725,97.36,0.0
148684,261894118,26.0,1,29.0,1,45.0,498.542471163,74.99,0.0
148723,261893992,19.0,1,32.0,1,50.0,670.66809079,99.99,0.0
148754,260013586,19.0,1,32.0,1,50.0,338.971558478,77.49,0.0
148814,260013554,26.0,1,29.0,1,45.0,621.7141499019999,54.99,0.0
148885,260011902,26.0,1,29.0,2,45.0,977.064003119,21.99,0.0
148886,260010352,26.0,1,29.0,1,45.0,467.56481244300005,54.99,0.0
148935,260007226,23.0,1,25.0,1,34.0,486.01088068300004,59.99,0.0
148959,261900884,46.0,1,30.0,1,41.0,326.738198219,64.99,0.0
148973,261893940,26.0,1,29.0,1,45.0,623.439483023,64.99,0.0
149038,260010106,46.0,1,30.0,1,41.0,623.971937423,37.99,0.0
149064,261894150,19.0,1,32.0,1,50.0,654.879918492,58.65666666666666,0.0
149084,256332650,36.5,3,23.5,3,2.5,857.9423108130002,79.32333333333331,0.0
149091,260011270,30.0,1,51.0,1,51.0,109.175224775,99.99,0.0
149114,261894118,26.0,1,29.0,1,45.0,39.0022365358,74.99,0.0
149115,260010352,26.0,1,29.0,1,45.0,959.722480294,54.99,0.0
