,ITEM_ID,CAPACIDADE_(L),COMPOSICAO,COR,MARCA,PARA_LAVA_LOUCAS,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
168764,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,675.493311401,117.244,0.0
168975,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,784.0912112960001,114.216519231,0.0
169055,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,309.453222371,111.18903846200001,0.0
169245,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,970.600481027,110.899245283,0.0
169324,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,529.887825373,95.83,0.0
169352,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,119.04879126,95.83,0.0
169441,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,785.345734677,165.27,0.0
169512,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,579.603150786,111.18903846200001,0.0
169579,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,433.182745996,95.83,0.0
169648,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,628.098879101,95.83,0.0
169964,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,508.00884710800005,95.83,0.0
170186,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,677.867529701,147.91,0.0
170252,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,754.937396577,122.845,0.0
170280,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,618.100247008,97.78,0.0
170460,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,570.328312651,95.83,0.0
170590,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,239.920093849,95.83,0.0
170687,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,595.910727125,95.8646428571,0.0
170912,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,68.0362567651,95.83,0.0
171008,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,149.316865567,110.899245283,0.0
171112,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,305.93671765,103.3646226415,0.0
171290,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,561.192798143,95.83,0.0
171590,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,6.581767220260001,334.472857143,0.0
171738,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,830.908789485,95.83,0.0
171929,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,565.910013873,96.8,0.0
172034,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,404.065995508,95.83,0.0
172035,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,320.07322437,95.83,0.0
172143,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,156.953961946,95.83,0.0
172204,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,231.018364408,95.83,0.0
172446,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,690.283413963,95.83,0.0
172850,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,856.7177804180001,110.899245283,0.0
173134,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,929.145545358,103.3646226415,0.0
173361,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,128.701670361,95.83,0.0
173456,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,233.15460092599997,110.899245283,0.0
174563,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,607.0343487609999,95.87619047620001,0.0
175139,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,550.565256611,95.83,0.0
175308,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,169.54200521,95.83,1.0
175692,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,61.1914992213,95.83,0.0
176246,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,224.429775809,111.18903846200001,0.0
176388,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,752.3895226489999,95.83,0.0
176510,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,987.118738747,110.899245283,0.0
177749,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,809.570238667,107.980135135,0.0
177871,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,608.483148778,95.83,0.0
178003,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,200.782283435,295.68,0.0
178330,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,20.3359216599,295.68,0.0
178407,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,715.038396795,95.83,0.0
178913,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,466.33059444199995,95.83,0.0
179787,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,164.543529363,95.83,0.0
179867,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,452.98473474900004,95.8442647059,0.0
179922,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,980.898919235,95.8585294118,0.0
179953,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,647.049203699,110.899245283,0.0
180245,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,937.208808819,110.899245283,0.0
