,ITEM_ID,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
152915,255487712,6,1,0.0,1,428.98570361599997,89.99,0.0
152918,242956508,5,1,0.0,1,626.202463803,29.7,0.0
152965,13863712,1,1,0.0,1,64.92073207279999,99.9,0.0
152975,242956508,5,1,0.0,1,643.457377939,29.7,0.0
152978,653352,1,1,0.0,1,605.85630055,166.4,1.0
152984,259619742,9,2,0.0,1,441.84867025,59.13,0.0
152995,255487712,6,1,0.0,1,501.942904502,89.99,0.0
152998,259619742,9,2,0.0,1,929.2926543680001,59.13,0.0
153002,242956508,5,1,0.0,1,561.645582704,29.7,1.0
153013,245841736,3,1,0.0,1,351.914254554,26.99,0.0
153028,263055714,14,1,0.0,1,902.199971028,54.99,0.0
153030,259620238,9,2,1.0,1,659.610626292,79.99,0.0
153040,257796924,8,1,0.0,1,222.694757785,339.0,0.0
153060,242956508,5,1,0.0,1,172.677515838,29.7,1.0
153061,259619742,9,2,0.0,1,151.49381718,59.13,0.0
153063,259616156,9,2,1.0,1,799.1906689960001,89.99,0.0
153072,245841928,3,1,0.0,1,424.90312034,34.99,0.0
153074,257488664,4,1,0.0,1,357.23844105300003,16.99,1.0
153079,257796924,8,1,0.0,1,736.3459093060001,139.3816666665,0.0
153086,257531582,8,1,0.0,1,970.292409017,261.773333333,0.0
153102,12099434,1,1,0.0,1,284.087501095,39.336,0.0
153109,245841736,3,1,0.0,1,641.810737109,26.09,0.0
153139,255487712,6,1,0.0,1,828.7275558480002,99.99,0.0
153142,242956508,5,1,0.0,1,159.130411291,29.0,0.0
153149,240761674,12,1,0.0,1,370.274062109,59.495,0.0
153156,225903416,2,1,0.0,1,596.925698176,89.99,0.0
153172,257488824,4,1,0.0,1,321.799664043,26.99,0.0
153188,257170702,4,1,0.0,1,850.2242316439999,117.08,0.0
153190,259619742,9,2,0.0,1,435.47243062300004,59.13,0.0
153222,257165624,4,1,0.0,1,416.08789008,67.9,0.0
153269,257488664,4,1,0.0,1,864.5149406889999,16.99,1.0
153283,225903448,2,1,0.0,1,190.989189451,89.99,0.0
153302,259619956,9,2,1.0,1,475.72868893300006,124.99,0.0
153318,225903608,2,1,0.0,1,962.396558828,159.99,0.0
153325,216538756,1,1,0.0,1,104.00588700600001,64.7506451613,0.0
153344,257163266,4,1,0.0,1,832.4901537810001,113.99,0.0
153360,259619838,9,2,0.0,1,453.570431724,48.76,0.0
153366,255487712,6,1,0.0,1,302.14379426200003,85.50914893619998,0.0
153371,218994466,7,1,1.0,1,974.893475866,119.9,1.0
153388,255487712,6,1,0.0,1,337.77812728,89.99,0.0
153393,257531582,8,1,0.0,1,659.508900057,288.0,0.0
153394,242956508,5,1,0.0,1,483.60365130099996,29.7,0.0
153403,257163266,4,1,0.0,1,788.392439695,115.535,0.0
153410,13863716,1,1,0.0,1,34.4027224493,158.836315789,0.0
153422,242956508,5,1,0.0,1,314.927168501,29.7,0.0
153429,653352,1,1,0.0,1,601.499606245,146.375714286,0.0
153437,11996250,1,1,0.0,1,699.465733807,93.7503921569,0.0
153447,240761546,12,1,0.0,1,251.183924582,277.49,0.0
153452,257168328,4,1,0.0,1,351.41311788800004,69.9,0.0
153475,259620238,9,2,1.0,1,825.7905061380002,79.99,0.0
153481,257163022,4,1,0.0,1,994.6419559510001,53.49,0.0
153485,242956508,5,1,0.0,1,216.63571463099998,26.99,1.0
153491,225903608,2,1,0.0,1,544.577389644,159.99,0.0
153495,257165624,4,1,0.0,1,950.991345952,59.45,0.0
153500,257163022,4,1,0.0,1,108.66502732299999,44.575,0.0
153502,242956508,5,1,0.0,1,901.298136043,29.7,0.0
153507,257168242,4,1,0.0,1,706.03973306,108.42210526299999,0.0
153533,13863716,1,1,0.0,1,901.8606281589999,175.333684211,0.0
153536,257488824,4,1,0.0,1,668.941291435,26.99,0.0
153554,257796924,8,1,0.0,1,374.986071304,314.9,0.0
153569,225903566,2,1,0.0,1,468.291926801,134.99,0.0
153570,255487712,6,1,0.0,1,576.889440089,99.99,0.0
153623,255487712,6,1,0.0,1,206.222744445,84.7794736842,0.0
153625,11996682,1,1,0.0,1,664.740150059,143.29,0.0
153628,257165624,4,1,0.0,1,865.6033301269998,59.2333333333,0.0
153643,242956508,5,1,0.0,1,64.64513576270001,29.7,0.0
153645,245841736,3,1,0.0,1,347.747840081,28.49,0.0
153646,257532742,8,1,1.0,2,420.66945463800005,59.24,0.0
153649,255487712,6,1,0.0,1,175.89118961900002,89.99,0.0
153659,225903608,2,1,0.0,1,442.380718636,87.7495744681,0.0
153688,255487712,6,1,0.0,1,847.453707257,85.50914893619998,0.0
153698,257796924,8,1,0.0,1,365.634697755,339.0,0.0
153701,257168242,4,1,0.0,1,334.679904314,101.54,0.0
153758,225903566,2,1,0.0,1,988.236576846,134.99,1.0
153779,258463582,4,1,1.0,1,660.201612028,72.56,0.0
153787,257488824,4,1,0.0,1,902.687117373,26.99,0.0
153788,258461382,4,1,1.0,1,702.370300235,87.96,0.0
153792,263055992,14,1,0.0,1,260.250289717,59.99,0.0
153797,242956508,5,1,0.0,1,110.574572857,26.99,0.0
153809,259620356,9,2,1.0,1,81.6137643768,47.99,0.0
153820,245841842,3,1,0.0,1,14.220015260699999,67.64,0.0
153822,255487712,6,1,0.0,1,220.23636546,87.29,0.0
153833,257490264,4,1,0.0,1,119.32493872200001,17.99,0.0
153859,259619838,9,2,0.0,1,872.596881615,53.99,0.0
153874,225903448,2,1,0.0,1,270.687072514,89.99,0.0
153880,255487712,6,1,0.0,1,994.0280262819999,75.95,0.0
153901,263055992,14,1,0.0,1,342.737453307,59.99,0.0
153935,13863716,1,1,0.0,1,353.64318988300005,154.379,0.0
153939,257796924,8,1,0.0,1,364.54892645900003,314.9,0.0
153950,240761674,12,1,0.0,1,642.361004331,172.29999999999995,0.0
153957,242956508,5,1,0.0,1,241.07857017599997,29.7,0.0
153964,11996250,1,1,0.0,1,133.681943627,91.99739130430001,0.0
153971,225903448,2,1,0.0,1,380.669529854,89.99,0.0
153975,242956508,5,1,0.0,1,975.908876944,29.7,0.0
153982,259619742,9,2,0.0,1,999.014705199,59.13,0.0
154042,255487712,6,1,0.0,1,864.2493067,89.99,0.0
154051,255487712,6,1,0.0,1,804.110393701,74.9314634146,0.0
154076,255487712,6,1,0.0,1,29.0888678006,99.99,0.0
154081,259619710,9,2,1.0,1,161.705495294,64.845,0.0
154088,242956508,5,1,0.0,1,790.9308469489999,29.7,1.0
154095,240761546,12,1,0.0,1,678.5781782290001,263.85,0.0
154146,216538756,1,1,0.0,1,461.24278306800005,186.89666666666668,0.0
154169,13863700,1,1,0.0,1,243.90738790700001,109.94333333333336,0.0
154175,259619838,9,2,0.0,1,330.75302557,32.99,0.0
154176,242956508,5,1,0.0,1,967.891834854,26.99,0.0
154182,259619742,9,2,0.0,1,628.060339902,59.13,0.0
154211,259616156,9,2,1.0,1,336.38443314799997,89.99,0.0
154216,259619870,9,2,1.0,1,128.66830911600002,29.99,1.0
154235,653352,1,1,0.0,1,523.147779744,139.49,0.0
154252,255487712,6,1,0.0,1,585.467789284,89.99,0.0
154260,257168242,4,1,0.0,1,37.9599162587,58.49,0.0
154275,242956508,5,1,0.0,1,717.690786225,26.99,0.0
154276,242956508,5,1,0.0,1,36.7768756347,29.7,0.0
154281,257490350,4,1,0.0,1,168.08804404,20.8252941176,0.0
154300,653352,1,1,0.0,1,251.916467303,162.3375,0.0
154309,240761674,12,1,0.0,1,251.96139181900003,148.66375,0.0
154329,225903566,2,1,0.0,1,252.006316335,134.99,0.0
154330,242956508,5,1,0.0,1,238.624800792,29.7,0.0
154338,10697200,1,1,0.0,1,426.238813222,63.205,0.0
154344,257170702,4,1,0.0,1,762.6511028660001,96.71,1.0
154349,11996250,1,1,0.0,1,753.4560417639999,93.9,0.0
154356,10697204,1,1,0.0,1,885.57537896,177.41444444400003,0.0
154366,245841962,3,1,0.0,1,256.859347382,34.99,0.0
154369,242956508,5,1,0.0,1,647.429978275,29.7,0.0
154388,245841810,3,1,0.0,1,127.32250561299999,27.99,0.0
154392,259619742,9,2,0.0,1,762.455534466,59.13,0.0
154409,11996250,1,1,0.0,1,829.963387005,92.1423529412,0.0
154426,245842002,3,1,0.0,1,329.465606374,127.34117647059999,0.0
154451,11996254,1,1,0.0,1,408.99865238,162.54,0.0
154471,260012026,9,2,1.0,1,966.6047114710001,44.99,0.0
154473,259619710,9,2,1.0,1,596.705937508,109.99,0.0
154481,263053640,14,1,0.0,1,540.0238686609999,69.845,0.0
154486,242956508,5,1,0.0,1,28.7196290835,29.7,1.0
154499,257168362,4,1,0.0,1,879.378521006,132.0,0.0
154505,259620356,9,2,1.0,1,35.325653718000005,115.995,0.0
154519,255487712,6,1,0.0,1,763.427114107,99.99,0.0
154523,257163140,4,1,0.0,1,579.246532486,130.805,0.0
154534,257532432,8,1,0.0,1,152.59981248100001,389.9,0.0
154561,259619838,9,2,0.0,1,583.3320586240001,32.99,0.0
154578,257490264,4,1,0.0,1,806.022498382,17.99,0.0
154582,10697200,1,1,0.0,1,363.197849019,89.0,0.0
154586,255487712,6,1,0.0,1,87.23086893719999,99.99,0.0
154592,259619742,9,2,0.0,1,742.965764095,59.13,0.0
154600,257163140,4,1,0.0,1,712.992352304,129.106666667,0.0
154607,257530864,8,1,1.0,2,214.755580844,226.26166666700001,0.0
154613,257796924,8,1,0.0,1,551.301884925,323.416666667,0.0
154625,255487712,6,1,0.0,1,538.963379931,99.99,0.0
154631,257488824,4,1,0.0,1,412.83287122400003,29.835,0.0
154645,242956508,5,1,0.0,1,399.325082989,29.7,0.0
154648,245842214,3,1,0.0,1,39.898071023600004,44.99,0.0
154650,257531582,8,1,0.0,1,634.379000734,238.92409090900003,0.0
154655,255487712,6,1,0.0,1,341.549578076,74.9314634146,0.0
154656,255487712,6,1,0.0,1,658.586438304,89.99,0.0
154666,242956508,5,1,0.0,1,942.000259303,30.3655172414,0.0
154680,259619742,9,2,0.0,1,301.53758147400004,59.13,0.0
154687,13863712,1,1,0.0,1,953.564782431,91.98,0.0
154705,259619742,9,2,0.0,1,510.60894244599996,59.13,0.0
154711,242956508,5,1,0.0,1,852.779639452,29.7,1.0
154714,255487712,6,1,0.0,1,103.769765529,77.9061764706,0.0
154734,242956508,5,1,0.0,1,134.958903478,26.99,0.0
154737,255487712,6,1,0.0,1,99.9309773248,87.29,0.0
154738,255487712,6,1,0.0,1,347.55009842,89.99,0.0
