,ITEM_ID,ALTURA,CAPACIDADE_(L),LARGURA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
80045,10697192,27.9,1.7,21.033333333333335,No,543.3333333333334,10.4,350.242244125,91.76333333333334,0.0
80864,14807856,29.2,3.1,22.5,Yes,585.0,10.6,348.809386893,89.9,1.0
81032,14807852,25.3,1.7,18.1,Yes,460.0,10.0,147.807995058,105.30625,0.0
81124,14807852,25.3,1.7,18.1,Yes,460.0,10.0,981.35461159,105.30625,0.0
81383,14807856,29.2,3.1,22.5,Yes,585.0,10.6,628.070658494,83.44,0.0
82114,14807852,25.3,1.7,18.1,Yes,460.0,10.0,479.217506711,103.94,0.0
82284,10697192,25.3,1.7,18.1,No,460.0,10.0,635.754337731,102.977857143,0.0
83195,14807852,25.3,1.7,18.1,Yes,460.0,10.0,917.000026066,102.015714286,0.0
83369,14807856,29.2,3.1,22.5,Yes,585.0,10.6,870.3243110239999,83.44,0.0
83482,14807852,25.3,1.7,18.1,Yes,460.0,10.0,56.1864836145,106.411666667,0.0
83669,14807856,29.2,3.1,22.5,Yes,585.0,10.6,580.139666568,85.3364285714,0.0
83715,14807856,29.2,3.1,22.5,Yes,585.0,10.6,725.6104204060001,83.44,0.0
83916,14807856,29.2,3.1,22.5,Yes,585.0,10.6,940.782516673,83.44,0.0
83930,14807856,29.2,3.1,22.5,Yes,585.0,10.6,45.7817358654,83.44,0.0
85242,14807856,29.2,3.1,22.5,Yes,585.0,10.6,83.78057161699999,83.44,0.0
85253,14807856,29.2,3.1,22.5,Yes,585.0,10.6,143.74617198200002,86.67578947370001,0.0
85286,10697196,29.2,5.7,22.5,No,585.0,10.6,422.663496494,85.05789473685,0.0
85447,14807856,29.2,3.1,22.5,Yes,585.0,10.6,328.67942623,83.44,0.0
86451,14807852,25.3,1.7,18.1,Yes,460.0,10.0,213.122187765,114.99,0.0
87350,14807852,25.3,1.7,18.1,Yes,460.0,10.0,776.626415148,105.30625,0.0
87487,14807856,29.2,3.1,22.5,Yes,585.0,10.6,381.27264294199995,83.44,1.0
87871,14807852,25.3,1.7,18.1,Yes,460.0,10.0,686.9215192280001,102.015714286,0.0
87983,14807852,25.3,1.7,18.1,Yes,460.0,10.0,609.4619034230001,95.502857143,0.0
88034,14807852,25.3,1.7,18.1,Yes,460.0,10.0,496.39237823,88.99,0.0
88038,14807856,29.2,3.1,22.5,Yes,585.0,10.6,199.660174089,86.35321428569999,0.0
88064,14807856,29.2,3.1,22.5,Yes,585.0,10.6,642.340742009,85.918125,0.0
88735,14807856,29.2,3.1,22.5,Yes,585.0,10.6,8.419120302489999,87.01100000000001,0.0
89410,14807852,25.3,1.7,18.1,Yes,460.0,10.0,759.739673714,106.411666667,0.0
90646,10697196,25.3,5.7,18.1,No,460.0,10.0,266.773282952,101.50000000015001,0.0
91275,14807852,25.3,1.7,18.1,Yes,460.0,10.0,738.76546804,96.5883333333,0.0
92261,10697192,27.25,1.7,20.3,No,522.5,10.3,406.12743919900004,91.93098484845001,0.0
92716,14807856,29.2,3.1,22.5,Yes,585.0,10.6,46.1145460149,87.2736363636,0.0
92740,14807856,29.2,3.1,22.5,Yes,585.0,10.6,719.981635748,85.6233333333,0.0
92804,14807852,25.3,1.7,18.1,Yes,460.0,10.0,148.844057233,102.443333333,0.0
93176,14807852,25.3,1.7,18.1,Yes,460.0,10.0,13.4402892371,102.015714286,0.0
94122,14807856,29.2,3.1,22.5,Yes,585.0,10.6,163.670325954,87.01100000000001,0.0
95166,14807852,25.3,1.7,18.1,Yes,460.0,10.0,361.149448705,88.99,0.0
95700,10697196,27.25,5.7,20.3,No,522.5,10.3,213.318974322,87.30666666664999,0.0
95840,14807856,29.2,3.1,22.5,Yes,585.0,10.6,358.416770579,85.6233333333,0.0
96230,14807856,29.2,3.1,22.5,Yes,585.0,10.6,383.17644953800004,87.2736363636,0.0
96464,10697196,29.2,5.7,22.5,No,585.0,10.6,499.438487719,113.63181818180001,0.0
96482,10697196,29.2,5.7,22.5,No,585.0,10.6,12.9110713399,139.99,0.0
96823,14807856,29.2,3.1,22.5,Yes,585.0,10.6,17.0353945673,89.9,0.0
96935,10697196,27.25,5.7,20.3,No,522.5,10.3,469.530106809,95.95785714300001,0.0
97071,14807852,25.3,1.7,18.1,Yes,460.0,10.0,46.1145460149,102.015714286,0.0
97107,14807852,25.3,1.7,18.1,Yes,460.0,10.0,224.648759347,114.99,0.0
97559,14807856,29.2,3.1,22.5,Yes,585.0,10.6,514.16843379,83.44,0.0
99044,14807852,25.3,1.7,18.1,Yes,460.0,10.0,383.497339864,52.9,0.0
99050,14807856,29.2,3.1,22.5,Yes,585.0,10.6,469.864639212,83.44,0.0
99643,14807856,29.2,3.1,22.5,Yes,585.0,10.6,285.178657674,89.9,0.0
99745,14807856,29.2,3.1,22.5,Yes,585.0,10.6,526.734896757,83.44,0.0
99873,14807852,25.3,1.7,18.1,Yes,460.0,10.0,251.971201734,102.015714286,0.0
100419,10697196,27.25,5.7,20.3,No,522.5,10.3,703.7733879069999,90.99003896120001,0.0
101055,14807856,29.2,3.1,22.5,Yes,585.0,10.6,739.5963934460001,79.96436363640001,0.0
101370,14807852,25.3,1.7,18.1,Yes,460.0,10.0,469.530106809,102.015714286,0.0
101444,14807852,25.3,1.7,18.1,Yes,460.0,10.0,240.18998110799998,103.94,0.0
102254,14807856,29.2,3.1,22.5,Yes,585.0,10.6,221.50395806,86.1576470588,0.0
103272,14807852,25.3,1.7,18.1,Yes,460.0,10.0,499.438487719,105.79,0.0
104169,14807856,29.2,3.1,22.5,Yes,585.0,10.6,686.071679613,87.1069565217,0.0
104930,14807856,29.2,3.1,22.5,Yes,585.0,10.6,112.907541795,85.8218181818,0.0
105023,14807852,25.3,1.7,18.1,Yes,460.0,10.0,15.120063406500002,103.49,0.0
